time,latitude,longitude,depth,mag,days_since_start,is_mainshock
2019-07-04 18:09:33.270000+00:00,35.5988333,-117.5946667,4.46,2.32,0.08043865740740741,False
2019-07-04 18:09:36.310000+00:00,36.0998333,-117.642,10.86,1.72,0.08047384259259259,False
2019-07-04 18:10:10.340000+00:00,35.731,-117.522,10.53,2.24,0.08086770833333333,False
2019-07-04 18:10:32.710000+00:00,35.6598333,-117.5348333,10.25,3.46,0.08112662037037037,False
2019-07-04 18:10:54.360000+00:00,35.6956667,-117.5145,2.31,2.39,0.08137719907407408,False
2019-07-04 18:11:22.870000+00:00,35.6003333,-117.5951667,7.33,2.69,0.08170717592592593,False
2019-07-04 18:11:40.170000+00:00,35.7265,-117.5416667,2.57,2.07,0.08190740740740741,False
2019-07-04 18:11:50.260000+00:00,35.6623333,-117.5523333,8.49,2.07,0.08202418981481482,False
2019-07-04 18:12:16.660000+00:00,35.7033333,-117.4811667,0.18,1.9,0.08232974537037037,False
2019-07-04 18:12:46.430000+00:00,35.745,-117.5235,6.73,2.2,0.08267430555555556,False
2019-07-04 18:12:52.070000+00:00,35.6703333,-117.5605,6.91,3.44,0.08273958333333332,False
2019-07-04 18:13:45.530000+00:00,35.7003333,-117.4873333,10.98,2.89,0.08335833333333333,False
2019-07-04 18:13:51.400000+00:00,35.7081667,-117.485,6.44,3.5,0.08342627314814814,False
2019-07-04 18:14:34.910000+00:00,35.7036667,-117.4928333,4.04,2.12,0.08392986111111111,False
2019-07-04 18:14:53.270000+00:00,35.7371667,-117.5328333,8.2,1.9,0.0841423611111111,False
2019-07-04 18:15:04.970000+00:00,35.6103333,-117.595,4.94,2.75,0.08427777777777778,False
2019-07-04 18:15:12.820000+00:00,35.6691667,-117.5203333,1.84,3.23,0.08436863425925925,False
2019-07-04 18:16:04.660000+00:00,35.6955,-117.4878333,11.28,2.13,0.08496863425925925,False
2019-07-04 18:16:20.340000+00:00,35.678,-117.5095,1.16,1.86,0.08515011574074074,False
2019-07-04 18:16:33.730000+00:00,35.7251667,-117.5335,6.74,2.94,0.08530509259259259,False
2019-07-04 18:16:53.090000+00:00,35.7248333,-117.5263333,2.85,1.99,0.08552916666666667,False
2019-07-04 18:17:05.280000+00:00,35.7081667,-117.4746667,1.24,2.21,0.08567025462962963,False
2019-07-04 18:17:15.320000+00:00,35.7185,-117.5336667,4.94,2.87,0.08578645833333333,False
2019-07-04 18:17:37.400000+00:00,35.6805,-117.484,5.61,1.79,0.08604201388888888,False
2019-07-04 18:17:56.020000+00:00,35.7331667,-117.5265,10.69,2.21,0.08625752314814815,False
2019-07-04 18:18:11.100000+00:00,35.712,-117.6213333,6.97,2.2,0.08643206018518518,False
2019-07-04 18:18:18.670000+00:00,35.7505,-117.552,7.7,1.84,0.08651967592592592,False
2019-07-04 18:18:45.720000+00:00,35.638,-117.611,9.43,3.38,0.08683275462962964,False
2019-07-04 18:18:52.070000+00:00,35.6123333,-117.624,0.0,2.98,0.08690625,False
2019-07-04 18:19:08.090000+00:00,35.7236667,-117.5085,11.57,2.6,0.08709166666666666,False
2019-07-04 18:19:21.690000+00:00,35.642,-117.5468333,1.88,2.4,0.08724907407407408,False
2019-07-04 18:19:58.130000+00:00,35.6958333,-117.4946667,9.03,2.08,0.08767083333333334,False
2019-07-04 18:20:07.520000+00:00,35.6598333,-117.532,7.26,2.13,0.08777951388888888,False
2019-07-04 18:20:20.440000+00:00,35.7043333,-117.4835,3.59,2.44,0.08792905092592593,False
2019-07-04 18:20:43.160000+00:00,35.6823333,-117.5931667,2.9,1.73,0.08819201388888889,False
2019-07-04 18:21:01.410000+00:00,35.731,-117.5235,9.53,1.99,0.08840324074074074,False
2019-07-04 18:21:13.740000+00:00,35.7305,-117.5235,8.46,2.16,0.08854594907407408,False
2019-07-04 18:21:16.760000+00:00,35.592,-117.5791667,9.75,2.2,0.08858090277777778,False
2019-07-04 18:21:25.340000+00:00,35.6788333,-117.5153333,2.91,2.61,0.08868020833333333,False
2019-07-04 18:21:47.960000+00:00,35.6268333,-117.5963333,10.86,1.92,0.0889420138888889,False
2019-07-04 18:21:50.720000+00:00,35.737,-117.5481667,2.61,2.04,0.08897395833333334,False
2019-07-04 18:22:04.840000+00:00,35.6741667,-117.5343333,6.68,2.15,0.08913738425925927,False
2019-07-04 18:22:26.710000+00:00,35.723,-117.5345,7.59,1.77,0.08939050925925926,False
2019-07-04 18:22:42.340000+00:00,35.6886667,-117.4763333,10.37,2.16,0.08957141203703704,False
2019-07-04 18:22:47.150000+00:00,35.7166667,-117.5253333,4.54,2.06,0.08962708333333333,False
2019-07-04 18:22:58.480000+00:00,35.7305,-117.5346667,7.7,2.08,0.08975821759259259,False
2019-07-04 18:23:00.100000+00:00,35.6901667,-117.4991667,2.75,2.03,0.08977696759259259,False
2019-07-04 18:23:09.010000+00:00,35.7286667,-117.5078333,10.39,1.91,0.0898800925925926,False
2019-07-04 18:23:15.710000+00:00,35.7371667,-117.5085,8.64,1.94,0.08995763888888889,False
2019-07-04 18:23:20.780000+00:00,35.6818333,-117.4931667,10.41,1.85,0.09001631944444444,False
